date,week_id,year_week,sku,units_ordered,units_delivered,units_sold,revenue,contribution,service_level
2024-12-23,17,2024-W52,ENRG-473,601,584,495,22056.56,10558.72,0.9717138103161398
2024-12-23,17,2024-W52,FRTR-500,924,883,808,24170.52,12909.49,0.9556277056277056
2024-12-23,17,2024-W52,TELM-500,1006,968,829,23173.32,12707.97,0.9622266401590457
2024-12-30,18,2024-W01,CFCL-355,968,936,782,27492.45,14453.52,0.9669421487603306
2024-12-30,18,2024-W01,CFMO-355,608,590,472,18934.36,9633.33,0.9703947368421053
2024-12-30,18,2024-W01,CFVN-355,778,748,636,24061.89,12364.66,0.961439588688946
2024-12-30,18,2024-W01,ENRG-473,545,532,413,18506.42,8907.25,0.9761467889908257
2024-12-30,18,2024-W01,FRTR-500,825,804,725,21787.05,11676.58,0.9745454545454545
2024-12-30,18,2024-W01,TELM-500,894,857,788,22164.25,12210.5,0.9586129753914989
2025-01-06,19,2025-W02,CFCL-355,998,961,835,29159.14,15227.83,0.9629258517034068
2025-01-06,19,2025-W02,CFMO-355,629,603,551,21853.77,10989.46,0.958664546899841
2025-01-06,19,2025-W02,CFVN-355,781,747,630,23792.09,12198.09,0.9564660691421255
2025-01-06,19,2025-W02,ENRG-473,542,522,415,18605.84,8954.38,0.9630996309963099
2025-01-06,19,2025-W02,FRTR-500,827,793,725,21809.25,11692.58,0.9588875453446191
2025-01-06,19,2025-W02,TELM-500,918,884,771,21517.41,11772.36,0.9629629629629629
2025-01-13,20,2025-W03,CFCL-355,1005,962,884,30783.97,16026.220000000001,0.9572139303482587
2025-01-13,20,2025-W03,CFMO-355,614,600,495,19964.31,10198.04,0.9771986970684039
2025-01-13,20,2025-W03,CFVN-355,769,735,634,24038.95,12364.24,0.9557867360208062
2025-01-13,20,2025-W03,ENRG-473,548,535,423,19061.920000000002,9218.26,0.9762773722627737
2025-01-13,20,2025-W03,FRTR-500,838,807,687,20676.69,11084.4,0.9630071599045346
2025-01-13,20,2025-W03,TELM-500,929,891,762,21368.36,11731.17,0.9590958019375673
2025-01-20,21,2025-W04,CFCL-355,1009,963,848,29844.85,15679.27,0.9544103072348861
2025-01-20,21,2025-W04,CFMO-355,623,604,495,19907.21,10135.03,0.9695024077046549
2025-01-20,21,2025-W04,CFVN-355,763,739,616,23641.31,12291.06,0.9685452162516383
2025-01-20,21,2025-W04,ENRG-473,547,532,432,19569.03,9509.8,0.9725776965265083
2025-01-20,21,2025-W04,FRTR-500,840,812,744,22492.46,12097.93,0.9666666666666667
2025-01-20,21,2025-W04,TELM-500,936,896,790,22030.3,12032.8,0.9572649572649573
2025-01-27,22,2025-W05,CFCL-355,1004,965,880,30773.21,16064.15,0.9611553784860558
2025-01-27,22,2025-W05,CFMO-355,636,613,561,22352.39,11270.39,0.9638364779874213
2025-01-27,22,2025-W05,CFVN-355,785,760,662,25262.5,13057.29,0.9681528662420382
2025-01-27,22,2025-W05,ENRG-473,549,532,434,19696.84,9584.98,0.9690346083788707
2025-01-27,22,2025-W05,FRTR-500,864,826,718,21315.85,11278.44,0.9560185185185185
2025-01-27,22,2025-W05,TELM-500,912,881,704,19833.579999999998,10918.92,0.9660087719298246
2025-02-03,23,2025-W06,CFCL-355,995,959,861,30527.23,16126.9,0.963819095477387
2025-02-03,23,2025-W06,CFMO-355,629,609,490,19674.63,9989.25,0.9682034976152624
2025-02-03,23,2025-W06,CFVN-355,770,739,658,25207.48,13068.55,0.9597402597402598
2025-02-03,23,2025-W06,ENRG-473,553,539,445,20214.45,9839.83,0.9746835443037974
2025-02-03,23,2025-W06,FRTR-500,869,836,705,21065.78,11204.06,0.9620253164556962
2025-02-03,23,2025-W06,TELM-500,939,897,796,22389.43,12303.66,0.9552715654952076
2025-02-10,24,2025-W07,CFCL-355,1015,970,872,30678.3,16085.22,0.9556650246305419
2025-02-10,24,2025-W07,CFMO-355,637,614,557,22245.78,11229.37,0.9638932496075353
2025-02-10,24,2025-W07,CFVN-355,783,754,682,25951.79,13362.42,0.9629629629629629
2025-02-10,24,2025-W07,ENRG-473,561,549,457,20643.37,9982.5,0.9786096256684492
2025-02-10,24,2025-W07,FRTR-500,873,846,746,22364.98,11923.39,0.9690721649484536
2025-02-10,24,2025-W07,TELM-500,930,896,785,22160.62,12208.31,0.9634408602150538
2025-02-17,25,2025-W08,CFCL-355,1025,989,891,31081.38,16161.09,0.9648780487804878
2025-02-17,25,2025-W08,CFMO-355,641,624,515,20593.46,10401.56,0.9734789391575663
2025-02-17,25,2025-W08,CFVN-355,783,760,622,23930.690000000002,12441.8,0.9706257982120051
2025-02-17,25,2025-W08,ENRG-473,558,544,441,19829.43,9535.539999999999,0.974910394265233
2025-02-17,25,2025-W08,FRTR-500,871,831,750,22405.87,11901.98,0.9540757749712974
2025-02-17,25,2025-W08,TELM-500,932,898,786,22195.579999999998,12224.47,0.9635193133047211
2025-02-24,26,2025-W09,CFCL-355,1018,981,845,29917.02,15758.32,0.9636542239685658
2025-02-24,26,2025-W09,CFMO-355,650,628,489,19673.19,9989.880000000001,0.9661538461538461
2025-02-24,26,2025-W09,CFVN-355,798,760,685,25954.76,13294.56,0.9523809523809523
2025-02-24,26,2025-W09,ENRG-473,556,538,463,21014.1,10200.05,0.9676258992805755
2025-02-24,26,2025-W09,FRTR-500,863,828,709,21560.55,11624.75,0.9594438006952491
2025-02-24,26,2025-W09,TELM-500,946,908,751,20907.6,11374.52,0.959830866807611
2025-03-03,27,2025-W10,CFCL-355,1034,984,914,32085.81,16761.55,0.9516441005802708
2025-03-03,27,2025-W10,CFMO-355,649,627,584,23445.4,11873.81,0.9661016949152542
2025-03-03,27,2025-W10,CFVN-355,784,749,602,23163.760000000002,12030.789999999999,0.9553571428571429
2025-03-03,27,2025-W10,ENRG-473,565,550,508,22917.69,11045.35,0.9734513274336283
2025-03-03,27,2025-W10,FRTR-500,880,848,700,21057.11,11241.36,0.9636363636363636
2025-03-03,27,2025-W10,TELM-500,963,929,790,21996.77,11962.59,0.9646936656282451
2025-03-10,28,2025-W11,CFCL-355,1014,971,872,30642.92,16014.150000000001,0.9575936883629191
2025-03-10,28,2025-W11,CFMO-355,660,640,553,22084.36,11120.36,0.9696969696969697
2025-03-10,28,2025-W11,CFVN-355,809,778,673,25594.53,13140.84,0.9616810877626699
2025-03-10,28,2025-W11,ENRG-473,567,552,449,20325.780000000002,9825.92,0.9735449735449735
2025-03-10,28,2025-W11,FRTR-500,878,837,737,22121.18,11780.34,0.9533029612756264
2025-03-10,28,2025-W11,TELM-500,956,916,816,22989.02,12618.23,0.9581589958158996
2025-03-17,29,2025-W12,CFCL-355,1026,980,915,32420.17,17060.57,0.9551656920077972
2025-03-17,29,2025-W12,CFMO-355,651,626,521,21007.510000000002,10671.69,0.9615975422427036
2025-03-17,29,2025-W12,CFVN-355,821,790,648,24613.99,12615.699999999999,0.9622411693057247
2025-03-17,29,2025-W12,ENRG-473,579,562,480,21651.74,10420.06,0.9706390328151986
2025-03-17,29,2025-W12,FRTR-500,897,862,779,23679.44,12742.67,0.9609810479375697
2025-03-17,29,2025-W12,TELM-500,982,946,792,22296.99,12225.15,0.9633401221995926
2025-03-24,30,2025-W13,CFCL-355,1016,984,864,30738.73,16226.46,0.968503937007874
2025-03-24,30,2025-W13,CFMO-355,660,639,569,22654.22,11359.2,0.9681818181818181
2025-03-24,30,2025-W13,CFVN-355,812,782,658,25125.89,12935.0,0.9630541871921182
2025-03-24,30,2025-W13,ENRG-473,571,554,441,20035.86,9710.57,0.9702276707530648
2025-03-24,30,2025-W13,FRTR-500,911,877,750,22687.97,12151.869999999999,0.9626783754116356
2025-03-24,30,2025-W13,TELM-500,1010,973,840,23437.21,12748.34,0.9633663366336633
2025-03-31,31,2025-W14,CFCL-355,1051,1010,894,31166.76,16141.44,0.9609895337773549
2025-03-31,31,2025-W14,CFMO-355,653,632,556,22438.73,11395.08,0.9678407350689127
2025-03-31,31,2025-W14,CFVN-355,792,768,665,25543.18,13215.11,0.9696969696969697
2025-03-31,31,2025-W14,ENRG-473,568,545,477,21543.44,10368.45,0.9595070422535211
2025-03-31,31,2025-W14,FRTR-500,921,896,747,22563.23,12062.89,0.9728555917480999
2025-03-31,31,2025-W14,TELM-500,992,952,822,23161.91,12695.76,0.9596774193548387
2025-04-07,32,2025-W15,CFCL-355,1026,987,842,29865.7,15705.6,0.9619883040935673
2025-04-07,32,2025-W15,CFMO-355,636,613,542,22003.44,11231.33,0.9638364779874213
2025-04-07,32,2025-W15,CFVN-355,793,764,680,26099.42,13485.52,0.9634300126103404
2025-04-07,32,2025-W15,ENRG-473,564,548,450,20517.88,9968.960000000001,0.9716312056737588
2025-04-07,32,2025-W15,FRTR-500,901,861,733,22215.19,11905.42,0.9556048834628191
2025-04-07,32,2025-W15,TELM-500,1007,975,832,23424.46,12824.61,0.968222442899702
2025-04-14,33,2025-W16,CFCL-355,1038,1005,882,30923.95,16082.23,0.9682080924855492
2025-04-14,33,2025-W16,CFMO-355,654,627,561,22579.42,11422.77,0.9587155963302753
2025-04-14,33,2025-W16,CFVN-355,794,763,672,25802.43,13329.36,0.9609571788413098
2025-04-14,33,2025-W16,ENRG-473,576,559,443,19945.45,9554.31,0.9704861111111112
2025-04-14,33,2025-W16,FRTR-500,893,860,738,22610.11,12223.62,0.9630459126539753
2025-04-14,33,2025-W16,TELM-500,984,946,792,22447.57,12351.12,0.9613821138211383
2025-04-21,34,2025-W17,CFCL-355,1037,995,841,29861.3,15700.82,0.9594985535197685
2025-04-21,34,2025-W17,CFMO-355,645,624,491,19816.100000000002,10045.67,0.9674418604651163
2025-04-21,34,2025-W17,CFVN-355,811,782,664,25528.38,13196.34,0.9642416769420469
2025-04-21,34,2025-W17,ENRG-473,567,551,466,21170.02,10232.74,0.9717813051146384
2025-04-21,34,2025-W17,FRTR-500,932,896,752,22692.89,12102.99,0.9613733905579399
2025-04-21,34,2025-W17,TELM-500,985,946,758,21609.97,11941.17,0.9604060913705583
2025-04-28,35,2025-W18,CFCL-355,1039,1009,906,32067.0,16802.920000000002,0.971126082771896
2025-04-28,35,2025-W18,CFMO-355,646,621,550,22154.99,11203.85,0.9613003095975232
2025-04-28,35,2025-W18,CFVN-355,803,778,664,25474.52,13135.04,0.9688667496886675
2025-04-28,35,2025-W18,ENRG-473,568,557,445,20271.1,9820.4,0.9806338028169014
2025-04-28,35,2025-W18,FRTR-500,926,892,861,25941.09,13808.85,0.9632829373650108
2025-04-28,35,2025-W18,TELM-500,996,954,827,23482.17,12926.7,0.9578313253012049
2025-05-05,36,2025-W19,CFCL-355,1053,1007,869,30621.81,15972.21,0.956315289648623
2025-05-05,36,2025-W19,CFMO-355,651,626,544,21935.98,11097.74,0.9615975422427036
2025-05-05,36,2025-W19,CFVN-355,815,778,670,25600.43,13141.82,0.9546012269938651
2025-05-05,36,2025-W19,ENRG-473,598,586,476,21812.55,10626.98,0.979933110367893
2025-05-05,36,2025-W19,FRTR-500,915,881,776,23713.57,12772.43,0.9628415300546448
2025-05-05,36,2025-W19,TELM-500,993,962,854,24209.38,13302.79,0.9687814702920443
2025-05-12,37,2025-W20,CFCL-355,1030,990,819,28941.89,15126.69,0.9611650485436893
2025-05-12,37,2025-W20,CFMO-355,639,621,540,21990.53,11225.52,0.971830985915493
2025-05-12,37,2025-W20,CFVN-355,797,766,667,25667.79,13257.45,0.9611041405269761
2025-05-12,37,2025-W20,ENRG-473,612,595,507,22923.29,11002.11,0.9722222222222222
2025-05-12,37,2025-W20,FRTR-500,904,862,759,23185.82,12477.85,0.9535398230088495
2025-05-12,37,2025-W20,TELM-500,958,924,840,24071.64,13337.28,0.964509394572025
2025-05-19,38,2025-W21,CFCL-355,1023,985,821,29020.85,15163.52,0.9628543499511242
2025-05-19,38,2025-W21,CFMO-355,642,624,527,21344.52,10832.32,0.9719626168224299
2025-05-19,38,2025-W21,CFVN-355,793,765,678,26283.4,13660.65,0.9646910466582598
2025-05-19,38,2025-W21,ENRG-473,601,578,447,20403.07,9886.21,0.961730449251248
2025-05-19,38,2025-W21,FRTR-500,895,859,704,21351.12,11413.17,0.9597765363128492
2025-05-19,38,2025-W21,TELM-500,963,930,810,23317.59,12960.35,0.9657320872274143
2025-05-26,39,2025-W22,CFCL-355,1015,979,846,30095.96,15808.09,0.9645320197044335
2025-05-26,39,2025-W22,CFMO-355,647,628,498,20175.71,10235.87,0.9706336939721792
2025-05-26,39,2025-W22,CFVN-355,781,753,630,24480.17,12744.15,0.9641485275288092
2025-05-26,39,2025-W22,ENRG-473,594,578,491,22377.49,10818.28,0.9730639730639731
2025-05-26,39,2025-W22,FRTR-500,903,867,748,22652.03,12086.49,0.9601328903654485
2025-05-26,39,2025-W22,TELM-500,971,934,777,22213.0,12271.72,0.9618949536560247
2025-06-02,40,2025-W23,CFCL-355,1001,959,855,30623.75,16175.08,0.958041958041958
2025-06-02,40,2025-W23,CFMO-355,653,634,560,22480.670000000002,11296.65,0.9709035222052067
2025-06-02,40,2025-W23,CFVN-355,799,773,636,24354.64,12499.58,0.967459324155194
2025-06-02,40,2025-W23,ENRG-473,597,579,445,20430.88,9948.36,0.9698492462311558
2025-06-02,40,2025-W23,FRTR-500,885,847,737,22490.48,12073.95,0.9570621468926553
2025-06-02,40,2025-W23,TELM-500,962,927,819,23428.45,12943.41,0.9636174636174636
2025-06-09,41,2025-W24,CFCL-355,1012,975,877,31081.86,16252.47,0.9634387351778656
2025-06-09,41,2025-W24,CFMO-355,648,627,559,22364.28,11193.44,0.9675925925925926
2025-06-09,41,2025-W24,CFVN-355,784,758,666,25704.45,13282.699999999999,0.9668367346938775
2025-06-09,41,2025-W24,ENRG-473,592,570,538,24748.46,12067.59,0.9628378378378378
2025-06-09,41,2025-W24,FRTR-500,897,860,736,22393.71,11984.99,0.9587513935340022
2025-06-09,41,2025-W24,TELM-500,985,932,796,22689.37,12492.61,0.9461928934010152
2025-06-16,42,2025-W25,CFCL-355,1004,965,832,29639.52,15562.62,0.9611553784860558
2025-06-16,42,2025-W25,CFMO-355,610,591,554,22785.06,11707.46,0.9688524590163935
2025-06-16,42,2025-W25,CFVN-355,774,742,632,24452.29,12657.39,0.958656330749354
2025-06-16,42,2025-W25,ENRG-473,587,572,489,22507.6,10974.68,0.9744463373083475
2025-06-16,42,2025-W25,FRTR-500,882,848,676,20631.58,11065.630000000001,0.9614512471655329
2025-06-16,42,2025-W25,TELM-500,972,932,814,23079.24,12645.630000000001,0.9588477366255144
2025-06-23,43,2025-W26,CFCL-355,1026,988,881,30970.11,16055.03,0.9629629629629629
2025-06-23,43,2025-W26,CFMO-355,623,603,498,20347.46,10383.63,0.9678972712680578
2025-06-23,43,2025-W26,CFVN-355,761,732,608,23707.07,12353.28,0.961892247043364
2025-06-23,43,2025-W26,ENRG-473,590,572,493,22532.51,10898.130000000001,0.9694915254237289
2025-06-23,43,2025-W26,FRTR-500,888,851,753,22918.05,12256.03,0.9583333333333334
2025-06-23,43,2025-W26,TELM-500,954,917,801,22974.48,12701.24,0.9612159329140462
2025-06-30,44,2025-W27,CFCL-355,998,963,808,28826.06,15138.64,0.9649298597194389
2025-06-30,44,2025-W27,CFMO-355,618,599,502,20564.32,10514.39,0.9692556634304207
2025-06-30,44,2025-W27,CFVN-355,757,725,618,23989.52,12442.02,0.9577278731836195
2025-06-30,44,2025-W27,ENRG-473,595,574,499,22554.96,10771.960000000001,0.9647058823529412
2025-06-30,44,2025-W27,FRTR-500,885,852,731,22299.48,11942.81,0.9627118644067797
2025-06-30,44,2025-W27,TELM-500,974,934,837,23805.77,13064.34,0.9589322381930184
2025-07-07,45,2025-W28,CFCL-355,993,946,840,29965.72,15727.62,0.9526686807653575
2025-07-07,45,2025-W28,CFMO-355,619,602,488,19878.29,10102.59,0.9725363489499192
2025-07-07,45,2025-W28,CFVN-355,779,753,653,25234.87,13026.02,0.9666238767650834
2025-07-07,45,2025-W28,ENRG-473,589,577,468,21451.510000000002,10393.89,0.9796264855687606
2025-07-07,45,2025-W28,FRTR-500,873,841,738,22438.37,11976.16,0.9633447880870561
2025-07-07,45,2025-W28,TELM-500,962,920,783,22258.01,12203.57,0.9563409563409564
2025-07-14,46,2025-W29,CFCL-355,980,936,803,28648.45,15029.380000000001,0.9551020408163265
2025-07-14,46,2025-W29,CFMO-355,622,602,506,20708.94,10566.71,0.9678456591639871
2025-07-14,46,2025-W29,CFVN-355,774,749,619,23767.46,12187.29,0.9677002583979328
2025-07-14,46,2025-W29,ENRG-473,594,572,501,22856.6,11012.17,0.9629629629629629
2025-07-14,46,2025-W29,FRTR-500,866,830,707,21661.34,11632.55,0.9584295612009238
2025-07-14,46,2025-W29,TELM-500,944,908,753,21764.73,12089.61,0.961864406779661
2025-07-21,47,2025-W30,CFCL-355,991,949,772,27543.31,14442.23,0.9576185671039354
2025-07-21,47,2025-W30,CFMO-355,625,606,497,20111.03,10143.09,0.9696
2025-07-21,47,2025-W30,CFVN-355,756,729,631,24572.86,12761.18,0.9642857142857143
2025-07-21,47,2025-W30,ENRG-473,588,568,476,21849.69,10589.47,0.9659863945578231
2025-07-21,47,2025-W30,FRTR-500,868,829,735,22413.239999999998,11980.93,0.9550691244239631
2025-07-21,47,2025-W30,TELM-500,958,916,822,23361.15,12793.15,0.9561586638830898
2025-07-28,48,2025-W31,CFCL-355,961,925,736,26478.38,13980.51,0.9625390218522373
2025-07-28,48,2025-W31,CFMO-355,608,585,494,20249.48,10335.73,0.962171052631579
2025-07-28,48,2025-W31,CFVN-355,767,742,611,23712.32,12268.02,0.9674054758800521
2025-07-28,48,2025-W31,ENRG-473,578,559,464,21474.43,10491.41,0.967128027681661
2025-07-28,48,2025-W31,FRTR-500,828,800,684,21136.36,11422.1,0.966183574879227
2025-07-28,48,2025-W31,TELM-500,918,875,757,21578.16,11839.86,0.9531590413943355
2025-08-04,49,2025-W32,CFCL-355,985,944,804,28727.4,15066.64,0.9583756345177665
2025-08-04,49,2025-W32,CFMO-355,623,603,500,20122.0,10081.84,0.9678972712680578
2025-08-04,49,2025-W32,CFVN-355,759,733,600,23083.3,11838.27,0.9657444005270093
2025-08-04,49,2025-W32,ENRG-473,549,538,432,19772.46,9540.83,0.9799635701275046
2025-08-04,49,2025-W32,FRTR-500,840,814,729,22327.02,11967.35,0.969047619047619
2025-08-04,49,2025-W32,TELM-500,879,843,701,20189.53,11166.24,0.9590443686006825
