date,week_id,year,month_num,month,quarter,iso_week,year_week,is_year_end
2025-09-22,56,2025,9,Sep,Q3,39,2025-W39,0
2025-09-29,57,2025,9,Sep,Q3,40,2025-W40,0
2025-10-06,58,2025,10,Oct,Q4,41,2025-W41,0
2025-10-13,59,2025,10,Oct,Q4,42,2025-W42,0
2025-10-20,60,2025,10,Oct,Q4,43,2025-W43,0
2025-10-27,61,2025,10,Oct,Q4,44,2025-W44,0
2025-11-03,62,2025,11,Nov,Q4,45,2025-W45,0
2025-11-10,63,2025,11,Nov,Q4,46,2025-W46,0
2025-11-17,64,2025,11,Nov,Q4,47,2025-W47,1
2025-11-24,65,2025,11,Nov,Q4,48,2025-W48,1
2025-12-01,66,2025,12,Dec,Q4,49,2025-W49,1
2025-12-08,67,2025,12,Dec,Q4,50,2025-W50,1
2025-12-15,68,2025,12,Dec,Q4,51,2025-W51,1
2025-12-22,69,2025,12,Dec,Q4,52,2025-W52,1
2025-12-29,70,2025,12,Dec,Q4,1,2025-W01,0
2026-01-05,71,2026,1,Jan,Q1,2,2026-W02,0
2026-01-12,72,2026,1,Jan,Q1,3,2026-W03,0
2026-01-19,73,2026,1,Jan,Q1,4,2026-W04,0
2026-01-26,74,2026,1,Jan,Q1,5,2026-W05,0
2026-02-02,75,2026,2,Feb,Q1,6,2026-W06,0
2026-02-09,76,2026,2,Feb,Q1,7,2026-W07,0
2026-02-16,77,2026,2,Feb,Q1,8,2026-W08,0
2026-02-23,78,2026,2,Feb,Q1,9,2026-W09,0
2026-03-02,79,2026,3,Mar,Q1,10,2026-W10,0
2026-03-09,80,2026,3,Mar,Q1,11,2026-W11,0
2026-03-16,81,2026,3,Mar,Q1,12,2026-W12,0
2026-03-23,82,2026,3,Mar,Q1,13,2026-W13,0
2026-03-30,83,2026,3,Mar,Q1,14,2026-W14,0
2026-04-06,84,2026,4,Apr,Q2,15,2026-W15,0
2026-04-13,85,2026,4,Apr,Q2,16,2026-W16,0
2026-04-20,86,2026,4,Apr,Q2,17,2026-W17,0
2026-04-27,87,2026,4,Apr,Q2,18,2026-W18,0
2026-05-04,88,2026,5,May,Q2,19,2026-W19,0
2026-05-11,89,2026,5,May,Q2,20,2026-W20,0
2026-05-18,90,2026,5,May,Q2,21,2026-W21,0
2026-05-25,91,2026,5,May,Q2,22,2026-W22,0
2026-06-01,92,2026,6,Jun,Q2,23,2026-W23,0
2026-06-08,93,2026,6,Jun,Q2,24,2026-W24,0
2026-06-15,94,2026,6,Jun,Q2,25,2026-W25,0
2026-06-22,95,2026,6,Jun,Q2,26,2026-W26,0
2026-06-29,96,2026,6,Jun,Q2,27,2026-W27,0
2026-07-06,97,2026,7,Jul,Q3,28,2026-W28,0
2026-07-13,98,2026,7,Jul,Q3,29,2026-W29,0
2026-07-20,99,2026,7,Jul,Q3,30,2026-W30,0
2026-07-27,100,2026,7,Jul,Q3,31,2026-W31,0
2026-08-03,101,2026,8,Aug,Q3,32,2026-W32,0
2026-08-10,102,2026,8,Aug,Q3,33,2026-W33,0
2026-08-17,103,2026,8,Aug,Q3,34,2026-W34,0
2026-08-24,104,2026,8,Aug,Q3,35,2026-W35,0
